zip,donations,total,NAME,population,B01003_001M,rate_per_1000
20601,6976,190404.72999999975,ZCTA5 20601,26236,1592,265.89
20602,6758,109716.81999999996,ZCTA5 20602,26835,1607,251.84
20603,12854,248108.6100000006,ZCTA5 20603,32726,1599,392.78
20604,247,8033.67,NA,NA,NA,NA
20606,11,131.43,ZCTA5 20606,314,129,35.03
20607,6889,181393.81000000043,ZCTA5 20607,10755,1740,640.54
20608,337,2569.720000000003,ZCTA5 20608,739,173,456.02
20609,61,2290,ZCTA5 20609,1211,310,50.37
20610,68,1669.1999999999998,NA,NA,NA,NA
20611,46,1206,ZCTA5 20611,1354,242,33.97
20612,21,399.17,ZCTA5 20612,181,115,116.02
20613,6436,170352.85000000012,ZCTA5 20613,13240,968,486.1
20614,21,409,NA,NA,NA,NA
20615,25,633,ZCTA5 20615,513,243,48.73
20616,1703,38740.899999999994,ZCTA5 20616,6728,1155,253.12
20617,274,7542.26,ZCTA5 20617,715,204,383.22
20618,313,6069.32,ZCTA5 20618,402,176,778.61
20619,2733,63659.01000000006,ZCTA5 20619,13845,1470,197.4
20620,393,7357.65,ZCTA5 20620,1688,561,232.82
20621,66,967,ZCTA5 20621,1277,469,51.68
20622,356,8922.109999999999,ZCTA5 20622,6692,1191,53.2
20623,2075,33616.96000000001,ZCTA5 20623,2619,348,792.29
20624,60,795,ZCTA5 20624,1242,283,48.31
20625,454,9224.020000000004,ZCTA5 20625,929,416,488.7
20626,240,3636.8600000000006,ZCTA5 20626,278,121,863.31
20627,8,40,NA,NA,NA,NA
20628,43,12163.26,ZCTA5 20628,452,257,95.13
20629,37,813,ZCTA5 20629,525,381,70.48
20630,371,24333.75,ZCTA5 20630,192,137,1932.29
20632,21,2812.5,ZCTA5 20632,314,155,66.88
20634,1095,27256.079999999944,ZCTA5 20634,6961,1013,157.3
20635,23,1176,NA,NA,NA,NA
20636,2316,58391.37,ZCTA5 20636,11295,1428,205.05
20637,2083,40167.06999999999,ZCTA5 20637,5288,639,393.91
20638,24,729.74,NA,NA,NA,NA
20639,3313,119571.28999999998,ZCTA5 20639,15216,1167,217.73
20640,1569,24599.82999999998,ZCTA5 20640,11113,874,141.19
20644,33,659,NA,NA,NA,NA
20645,199,10778.3,ZCTA5 20645,653,154,304.75
20646,5566,130374.95000000004,ZCTA5 20646,22583,975,246.47
20647,1,39.8,NA,NA,NA,NA
20649,6,330,NA,NA,NA,NA
20650,3964,144375.84000000023,ZCTA5 20650,14069,1305,281.75
20653,3608,81705.0799999999,ZCTA5 20653,26112,1521,138.17
20656,38,1569.76,NA,NA,NA,NA
20657,5067,125720.03000000009,ZCTA5 20657,19711,1125,257.06
20658,288,10475.370000000004,ZCTA5 20658,858,220,335.66
