zip,donations,total,NAME,population,B01003_001M,rate_per_1000
20601,1425,35154.4,ZCTA5 20601,26236,1592,54.31
20602,897,22974.03999999998,ZCTA5 20602,26835,1607,33.43
20603,1449,54640.36000000012,ZCTA5 20603,32726,1599,44.28
20604,58,1159.21,NA,NA,NA,NA
20606,21,293.59999999999997,ZCTA5 20606,314,129,66.88
20607,578,12869.199999999992,ZCTA5 20607,10755,1740,53.74
20608,26,960.7,ZCTA5 20608,739,173,35.18
20609,48,2305.4399999999996,ZCTA5 20609,1211,310,39.64
20610,40,2338.0399999999995,NA,NA,NA,NA
20611,35,826.2,ZCTA5 20611,1354,242,25.85
20612,146,717.07,ZCTA5 20612,181,115,806.63
20613,1242,21712.14999999992,ZCTA5 20613,13240,968,93.81
20615,156,2400.2400000000016,ZCTA5 20615,513,243,304.09
20616,292,6938.1399999999985,ZCTA5 20616,6728,1155,43.4
20617,122,2581.13,ZCTA5 20617,715,204,170.63
20618,111,3086.189999999999,ZCTA5 20618,402,176,276.12
20619,1321,50741.130000000056,ZCTA5 20619,13845,1470,95.41
20620,163,5863.94,ZCTA5 20620,1688,561,96.56
20621,39,1845.489999999999,ZCTA5 20621,1277,469,30.54
20622,383,17405.309999999994,ZCTA5 20622,6692,1191,57.23
20623,103,2147.4399999999996,ZCTA5 20623,2619,348,39.33
20624,18,727.2300000000001,ZCTA5 20624,1242,283,14.49
20625,26,1835.3699999999997,ZCTA5 20625,929,416,27.99
20626,16,1488.6,ZCTA5 20626,278,121,57.55
20627,3,520.24,NA,NA,NA,NA
20628,88,2661.529999999999,ZCTA5 20628,452,257,194.69
20630,57,8129.480000000001,ZCTA5 20630,192,137,296.88
20632,74,1660.4599999999996,ZCTA5 20632,314,155,235.67
20634,2590,41293.05999999995,ZCTA5 20634,6961,1013,372.07
20636,1831,39801.99999999989,ZCTA5 20636,11295,1428,162.11
20637,1342,50569.88999999994,ZCTA5 20637,5288,639,253.78
20639,4060,78700.29000000027,ZCTA5 20639,15216,1167,266.82
20640,1132,23500.449999999957,ZCTA5 20640,11113,874,101.86
20645,104,2337.07,ZCTA5 20645,653,154,159.26
20646,5750,92164.8600000004,ZCTA5 20646,22583,975,254.62
20650,6687,111278.18000000074,ZCTA5 20650,14069,1305,475.3
20653,2289,45948.46000000004,ZCTA5 20653,26112,1521,87.66
20656,4,4,NA,NA,NA,NA
20657,1350,80439.92000000038,ZCTA5 20657,19711,1125,68.49
