zip,donations,total,population,rate_per_1000,rate_label,total_formatted
20601,1425,35154.4,26236,54.31,"54.31 per 1,000 people","$35,154.40"
20602,897,22974.03999999998,26835,33.43,"33.43 per 1,000 people","$22,974.04"
20603,1449,54640.36000000012,32726,44.28,"44.28 per 1,000 people","$54,640.36"
20606,21,293.59999999999997,314,66.88,"66.88 per 1,000 people",$293.60
20607,578,12869.199999999992,10755,53.74,"53.74 per 1,000 people","$12,869.20"
20608,26,960.7,739,35.18,"35.18 per 1,000 people",$960.70
20609,48,2305.4399999999996,1211,39.64,"39.64 per 1,000 people","$2,305.44"
20611,35,826.2,1354,25.85,"25.85 per 1,000 people",$826.20
20612,146,717.07,181,806.63,"806.63 per 1,000 people",$717.07
20613,1242,21712.14999999992,13240,93.81,"93.81 per 1,000 people","$21,712.15"
20615,156,2400.2400000000016,513,304.09,"304.09 per 1,000 people","$2,400.24"
20616,292,6938.1399999999985,6728,43.4,"43.4 per 1,000 people","$6,938.14"
20617,122,2581.13,715,170.63,"170.63 per 1,000 people","$2,581.13"
20618,111,3086.189999999999,402,276.12,"276.12 per 1,000 people","$3,086.19"
20619,1321,50741.130000000056,13845,95.41,"95.41 per 1,000 people","$50,741.13"
20620,163,5863.94,1688,96.56,"96.56 per 1,000 people","$5,863.94"
20621,39,1845.489999999999,1277,30.54,"30.54 per 1,000 people","$1,845.49"
20622,383,17405.309999999994,6692,57.23,"57.23 per 1,000 people","$17,405.31"
20623,103,2147.4399999999996,2619,39.33,"39.33 per 1,000 people","$2,147.44"
20624,18,727.2300000000001,1242,14.49,"14.49 per 1,000 people",$727.23
20625,26,1835.3699999999997,929,27.99,"27.99 per 1,000 people","$1,835.37"
20626,16,1488.6,278,57.55,"57.55 per 1,000 people","$1,488.60"
20628,88,2661.529999999999,452,194.69,"194.69 per 1,000 people","$2,661.53"
20630,57,8129.480000000001,192,296.88,"296.88 per 1,000 people","$8,129.48"
20632,74,1660.4599999999996,314,235.67,"235.67 per 1,000 people","$1,660.46"
20634,2590,41293.05999999995,6961,372.07,"372.07 per 1,000 people","$41,293.06"
20636,1831,39801.99999999989,11295,162.11,"162.11 per 1,000 people","$39,802.00"
20637,1342,50569.88999999994,5288,253.78,"253.78 per 1,000 people","$50,569.89"
20639,4060,78700.29000000027,15216,266.82,"266.82 per 1,000 people","$78,700.29"
20640,1132,23500.449999999957,11113,101.86,"101.86 per 1,000 people","$23,500.45"
20645,104,2337.07,653,159.26,"159.26 per 1,000 people","$2,337.07"
20646,5750,92164.8600000004,22583,254.62,"254.62 per 1,000 people","$92,164.86"
20650,6687,111278.18000000074,14069,475.3,"475.3 per 1,000 people","$111,278.18"
20653,2289,45948.46000000004,26112,87.66,"87.66 per 1,000 people","$45,948.46"
20657,1350,80439.92000000038,19711,68.49,"68.49 per 1,000 people","$80,439.92"
20658,11,1121.18,858,12.82,"12.82 per 1,000 people","$1,121.18"
20659,3755,91069.19000000054,23030,163.05,"163.05 per 1,000 people","$91,069.19"
20662,133,9742.390000000005,2333,57.01,"57.01 per 1,000 people","$9,742.39"
20664,281,8245.47,3285,85.54,"85.54 per 1,000 people","$8,245.47"
20667,30,1417.13,868,34.56,"34.56 per 1,000 people","$1,417.13"
20670,19,705.89,1620,11.73,"11.73 per 1,000 people",$705.89
20674,209,9114.100000000006,1082,193.16,"193.16 per 1,000 people","$9,114.10"
20675,131,4188.69,1662,78.82,"78.82 per 1,000 people","$4,188.69"
20676,691,23146.85999999999,3631,190.31,"190.31 per 1,000 people","$23,146.86"
20677,10510,52261.30000000037,2215,4744.92,"4744.92 per 1,000 people","$52,261.30"
20678,2547,50940.49999999995,12418,205.11,"205.11 per 1,000 people","$50,940.50"
20680,44,1978.8,649,67.8,"67.8 per 1,000 people","$1,978.80"
20684,75,3987.879999999999,784,95.66,"95.66 per 1,000 people","$3,987.88"
