county,party,day1,perc_day1,day2,perc_day2,day3,perc_day3,day4,perc_day4,day5,perc_day5,day6,perc_day6,day7,perc_day7,day8,perc_day8,total,perc_total,eligible_actives
Allegany,DEM,44,0.4,31,0.28,21,0.19,21,0.19,34,0.31,29,0.26,45,0.41,66,0.6,291,2.66,10944
Allegany,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,NLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,REP,108,0.48,81,0.36,42,0.19,61,0.27,108,0.48,102,0.45,93,0.41,131,0.58,726,3.21,22620
Allegany,UNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegany,TOTAL,152,0.45,112,0.33,63,0.19,82,0.24,142,0.42,131,0.39,138,0.41,197,0.59,1017,3.03,33564
Anne Arundel,DEM,635,0.37,726,0.42,429,0.25,414,0.24,796,0.46,865,0.5,964,0.56,1598,0.93,6427,3.73,172447
Anne Arundel,LIB,1,0.07,1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,2,0.14,1472
Anne Arundel,NLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
Anne Arundel,OTH,2,0.08,1,0.04,1,0.04,0,0,1,0.04,3,0.12,1,0.04,0,0,9,0.36,2496
Anne Arundel,REP,563,0.44,669,0.52,358,0.28,308,0.24,745,0.58,702,0.55,793,0.62,1105,0.86,5243,4.07,128755
Anne Arundel,UNA,18,0.03,28,0.05,14,0.02,16,0.03,21,0.03,27,0.04,28,0.05,38,0.06,190,0.32,60210
Anne Arundel,TOTAL,1219,0.33,1425,0.39,802,0.22,738,0.2,1563,0.43,1597,0.44,1786,0.49,2741,0.75,11871,3.25,365412
Baltimore City,DEM,1668,0.56,1567,0.53,737,0.25,703,0.24,1730,0.58,1691,0.57,2147,0.73,3279,1.11,13522,4.57,295959
Baltimore City,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore City,NLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore City,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore City,REP,69,0.24,45,0.16,21,0.07,43,0.15,55,0.19,72,0.25,63,0.22,110,0.39,478,1.68,28477
Baltimore City,UNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore City,TOTAL,1737,0.54,1612,0.5,758,0.23,746,0.23,1785,0.55,1763,0.54,2210,0.68,3389,1.04,14000,4.32,324436
Baltimore County,DEM,1646,0.54,1773,0.58,1024,0.34,1019,0.33,1976,0.65,2174,0.71,2328,0.76,3347,1.1,15287,5,305598
Baltimore County,LIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore County,NLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore County,OTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore County,REP,976,0.71,955,0.7,507,0.37,505,0.37,1044,0.76,1115,0.81,1095,0.8,1422,1.04,7619,5.56,137037
Baltimore County,UNA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore County,TOTAL,2622,0.59,2728,0.62,1531,0.35,1524,0.34,3020,0.68,3289,0.74,3423,0.77,4769,1.08,22906,5.17,442635
Calvert,DEM,141,0.6,120,0.51,95,0.41,63,0.27,133,0.57,141,0.6,199,0.85,260,1.11,1152,4.92,23431
Calvert,LIB,0,0,0,0,1,0.22,0,0,1,0.22,1,0.22,0,0,1,0.22,4,0.87,459
Calvert,NLM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Calvert,OTH,2,0.27,1,0.14,1,0.14,0,0,0,0,0,0,2,0.27,3,0.41,9,1.23,731
Calvert,REP,209,0.75,224,0.8,110,0.39,97,0.35,221,0.79,271,0.97,293,1.05,378,1.35,1803,6.44,27980
Calvert,UNA,23,0.14,18,0.11,9,0.06,20,0.12,22,0.14,18,0.11,29,0.18,36,0.22,175,1.08,16159
Calvert,TOTAL,375,0.55,363,0.53,216,0.31,180,0.26,377,0.55,431,0.63,523,0.76,678,0.99,3143,4.57,68778
Caroline,DEM,24,0.4,39,0.65,15,0.25,10,0.17,35,0.58,40,0.66,34,0.56,65,1.08,262,4.34,6043
